Model,MSE,RMSE,MAE,R2,MAPE (%),RMSE (orig.)
LSTM,0.009675274603068829,0.09836297374047223,0.0822727158665657,-0.00469517707824707,43.01679229736328,5.98046875
GRU,0.010619408451020718,0.10305051407450969,0.08406858146190643,-0.10273551940917969,41.09119415283203,6.265470964245911
Hybrid,0.012486785650253296,0.1117442868797027,0.08366849273443222,-0.2966468334197998,34.33307647705078,6.794053046548607
